# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag	
kid	erekiddo	en-AU	
ep	espathra	en-AU	
bxc	espinodon	en-AU	
digg	excavarenne	en-AU	
lic	excelangue	en-AU	
gh	fantominus	en-AU	
elf	farfaduvet	en-AU	
sne	farfuret	en-AU	
un	fasasnob	en-AU	
sin	fatalitee	en-AU	
ort	ferdeter	en-AU	
pig	ferkokel	en-AU	
veg	feuillajou	en-AU	
sms	feuiloutan	en-AU	
f	feunnec	en-AU	
fz	fezandipiti	en-AU	
spd	filentrappe	en-AU	
glal	firnontor	en-AU	
broo	flagadoss	en-AU	
gril	flamajou	en-AU	
hp	flambino	en-AU	
emb	flambirex	en-AU	
fia	flambusard	en-AU	
l	flamiaou	en-AU	
ske	flamigator	en-AU	
fm	flaminkno	en-AU	
grill	flamoutan	en-AU	
smr	flamoutan 	en-AU	
darm	flampivian	en-AU	
arc	flapteryx	en-AU	
swi	flauschling	en-AU	
ac	flemmli	en-AU	
clau	flingouste	en-AU	
flr	floragato 	en-AU	
lur	floramantis	en-AU	
sod	flotajou	en-AU	
smp	flotoutan	en-AU	
flm	flotte-meche	en-AU	
ig	fluffeluff	en-AU	
fi	fluvetin 	en-AU	
lea	folipurba	en-AU	
brb	fongus-furie	en-AU	
tk	forgerette	en-AU	
for	forstellka	en-AU	
ot	fouinette	en-AU	
lg	fragilady	en-AU	
oi	fragroin	en-AU	
hd	friedwuff	en-AU	
j	frissonille 	en-AU	
rak	frizelbliz 	en-AU	
fri	frospino	en-AU	
wis	froussardine	en-AU	
can	frubaila	en-AU	
gfi	fue-percant	en-AU	
inc	fuegro	en-AU	
g	fukamaru	en-AU	
kwt	fulgulairo	en-AU	
fl	furabebe	en-AU	
floe	furaette	en-AU	
flor	furajesu	en-AU	
rgb	furienblitz	en-AU	
venu	fushigibana 	en-AU	
bs	fushigidane 	en-AU	
url	gachiguma	en-AU	
gal	galagladi	en-AU	
tir	galapaflos	en-AU	
qqq	galarian 	en-AU	
gp	galopa	en-AU	
eg	galvaran	en-AU	
claw	gamblast	en-AU	
snd	ganovil 	en-AU		
hid	garstella	en-AU	
tr	geckarbor	en-AU	
sur	gehweiher	en-AU	
van	gelatini	en-AU	
vani	gelatroppo	en-AU	
gene	genesect	en-AU	
gra	georok	en-AU	
nc	geosali	en-AU	
gole	geowaz	en-AU	
ruf	geronimatz	en-AU	
sce	gewaldro	en-AU	
k	giaru	en-AU	
gim	gierspenst	en-AU	
gi	giratina	en-AU	
paw	gladiantri	en-AU	
kg	gladimperio	en-AU	
reli	glanth	en-AU	
glas	glastrier	en-AU	
gla	glaziola	en-AU	
croa	glibunkel	en-AU	
cg	glibunkel 	en-AU	
golu	golemastoc	en-AU	
ph	gomazou	en-AU	
rill	gorythmic	en-AU	
rok	goupix	en-AU	
le	gourmelet	en-AU	
s	grainipiot	en-AU	
gran	granbulu	en-AU	
3	grandiras	en-AU	
tkn	granforgita	en-AU	
grav	gravalanch	en-AU	
fk	grenousse	en-AU	
sr	gribouraigne	en-AU	
sz	grillepattes	en-AU	
imp	grimalin	en-AU	
gt	gringolem	en-AU	
